product_id,product_name,category,price
10315,Study Table,Furniture,16433
10316,Cricket Bat,Sports,635
10317,Smartwatch with AMOLED,Fitness & Wearables,7427
10318,Running Watch,Fitness & Wearables,5003
10319,Pressure Cooker 10L,Kitchenware,2809
10320,5G Smartphone 6GB RAM,Mobile Phones,32909
10321,Energy Bar,Snacks,232
10322,Men's T-Shirt,Clothing,3256
10323,Gaming Laptop,Laptops,38804
10324,Football,Sports,1728
10325,Casual Shirt,Clothing,1525
10326,Over-Ear Headphones,Headphones & Earphones,7977
10327,Potato Chips 200g,Snacks,194
10328,Chromebook,Laptops,36881
10329,Business Book,Books,386
10330,Wired Earphones,Headphones & Earphones,13093
10331,Ab Roller,Fitness,3155
10332,Electric Kettle,Home Appliances,11954
10333,Ceiling Fan,Home Appliances,1204
10334,Highlighter Set,Stationery,116
10335,Football,Sports,4459
10336,Potato Chips 200g,Snacks,67
10337,Smart Plug,Electronics,26468
10338,Bed Frame,Furniture,47253
10339,Flagship Phone,Mobile Phones,13608
10340,Smart Plug,Electronics,40993
10341,Bookshelf,Furniture,28504
10342,Highlighter Set,Stationery,381
10343,Cutlery Set,Kitchenware,1576
10344,Resistance Bands,Fitness,571
10345,Watch Strap,Accessories,1471
10346,Notebook 100 Pages,Stationery,57
10347,Backpack 55L,Accessories,226
10348,Salt Pack,Groceries,254
10349,Sunscreen SPF50,Beauty,1208
10350,Novel Bestseller,Books,524
10351,GPS Smartwatch,Fitness & Wearables,5674
10352,Ab Roller,Fitness,1217
10353,Fruit Juice 3L,Beverages,411
10354,Running Watch,Fitness & Wearables,3816
10355,Fruit Juice 7L,Beverages,597
10356,Mobile Cover,Accessories,1112
10357,Yoga Mat,Sports,4738
10358,Chromebook,Laptops,62523
10359,Gaming Headset,Headphones & Earphones,10463
10360,Chromebook,Laptops,52332
10361,Mobile Cover,Accessories,1495
10362,Non-Stick Kadai,Kitchenware,993
10363,Cutlery Set,Kitchenware,1222
10364,Body Lotion,Personal Care,283
10365,Bluetooth Speaker,Electronics,30549
10366,Backpack 50L,Accessories,2340
10367,Smart LED TV 50 inch,Electronics,19271
10368,Formal Shoes,Footwear,5695
10369,Casual Shirt,Clothing,2711
10370,Sunscreen SPF50,Beauty,1458
10371,True Wireless Earbuds,Headphones & Earphones,6750
10372,Atta 10kg,Groceries,584
10373,Marker Permanent,Stationery,249
10374,Smart Plug,Electronics,28828
10375,Spices Masala,Groceries,1119
10376,Face Cream,Beauty,1126
10377,Pull-up Bar,Fitness,3060
10378,Men's T-Shirt,Clothing,1821
10379,Basmati Rice 1kg,Groceries,946
10380,Non-Stick Kadai,Kitchenware,2589
10381,Flagship Phone,Mobile Phones,47734
10382,Casual Shirt,Clothing,936
10383,Office Chair,Furniture,3854
10384,Backpack 32L,Accessories,1163
10385,Bookshelf,Furniture,18609
10386,Resistance Bands,Fitness,3638
10387,Stainless Steel Lunch Box,Kitchenware,2436
10388,Gaming Laptop,Laptops,65558
10389,Instant Coffee,Beverages,471
10390,Pressure Cooker 5L,Kitchenware,1188
10391,Resistance Bands,Fitness,3684
10392,Atta 5kg,Groceries,805
10393,Football,Sports,4778
10394,Potato Chips 500g,Snacks,395
10395,Body Lotion,Personal Care,92
10396,Namkeen Mix,Snacks,21
10397,Pressure Cooker 3L,Kitchenware,1261
10398,Office Chair,Furniture,12194
10399,Energy Bar,Snacks,172
10400,Wireless Earbuds,Electronics,75763
10401,Ceiling Fan,Home Appliances,11309
10402,Bed Frame,Furniture,41086
10403,Fruit Juice 7L,Beverages,433
10404,Wired Earphones,Headphones & Earphones,9093
10405,5G Smartphone 12GB RAM,Mobile Phones,44124
10406,Smart LED TV 32 inch,Electronics,69675
10407,Sandals,Footwear,1275
10408,Bookshelf,Furniture,21455
10409,Business Book,Books,1155
10410,Bookshelf,Furniture,46057
10411,Tea 500g,Beverages,163
10412,Power Bank 10000mAh,Electronics,44801
10413,Resistance Bands,Fitness,1502
10414,Slippers,Footwear,1720
10415,Dining Table Set,Furniture,22476
10416,Deodorant,Personal Care,676
10417,Office Chair,Furniture,2754
10418,Running Watch,Fitness & Wearables,2717
10419,Energy Bar,Snacks,303
10420,Intel Core i5 Laptop,Laptops,58569
10421,Flagship Phone,Mobile Phones,57455
10422,Business Book,Books,629
10423,Men's T-Shirt,Clothing,3551
10424,Sunglasses,Accessories,643
10425,Dining Table Set,Furniture,33084
10426,Backpack 50L,Accessories,2031
10427,Fitness Band,Fitness & Wearables,9310
10428,Deodorant,Personal Care,580
10429,Cooking Oil 7L,Groceries,184
10430,Smart LED TV 43 inch,Electronics,54248
10431,Resistance Bands,Fitness,3818
10432,Dumbbells Pair,Fitness,2512
10433,Badminton Racket,Sports,1042
10434,AMD Ryzen 5 Laptop,Laptops,42216
10435,Cutlery Set,Kitchenware,547
10436,Cutlery Set,Kitchenware,2101
10437,Salt Pack,Groceries,207
10438,Fitness Band,Fitness & Wearables,11818
10439,Marker Permanent,Stationery,152
10440,Push-up Bars,Fitness,2932
10441,Wireless Earbuds,Electronics,39440
10442,AMD Ryzen 5 Laptop,Laptops,75998
10443,Business Book,Books,1012
10444,Slippers,Footwear,4185
10445,Yoga Mat,Sports,3198
10446,Pressure Cooker 5L,Kitchenware,2173
10447,Smart Plug,Electronics,66959
10448,Potato Chips 200g,Snacks,142
10449,Neckband Earphones,Headphones & Earphones,1228
10450,Biscuits Pack,Snacks,164
10451,Hoodie,Clothing,773
10452,Football,Sports,1411
10453,Camera Phone,Mobile Phones,52843
10454,Programming Book,Books,669
10455,Women's Kurti,Clothing,2216
10456,Sandals,Footwear,5613
10457,Mixer Grinder 1000W,Home Appliances,2715
10458,Cooking Oil 5L,Groceries,155
10459,Formal Shoes,Footwear,1427
10460,True Wireless Earbuds,Headphones & Earphones,14794
10461,Office Chair,Furniture,19700
10462,Running Watch,Fitness & Wearables,3245
10463,Sunglasses,Accessories,1061
10464,Dining Table Set,Furniture,2590
10465,Lipstick Matte,Beauty,705
10466,Neckband Earphones,Headphones & Earphones,5248
10467,Camera Phone,Mobile Phones,49834
10468,Football,Sports,4461
10469,Stainless Steel Lunch Box,Kitchenware,2701
10470,Smartwatch with AMOLED,Fitness & Wearables,7986
10471,Flagship Phone,Mobile Phones,59198
10472,Wallet Leather,Accessories,1685
10473,Induction Cooktop,Home Appliances,7166
10474,Non-Stick Kadai,Kitchenware,1185
10475,Study Table,Furniture,37558
10476,Wired Earphones,Headphones & Earphones,3149
10477,Gaming Phone,Mobile Phones,41012
10478,Air Fryer,Home Appliances,9253
10479,Spices Masala,Groceries,436
10480,Bed Frame,Furniture,47953
10481,Sunglasses,Accessories,2922
10482,Cooking Oil 7L,Groceries,1014
10483,Running Watch,Fitness & Wearables,2474
10484,Programming Book,Books,467
10485,Salt Pack,Groceries,697
10486,Ceiling Fan,Home Appliances,6619
10487,Biscuits Pack,Snacks,341
10488,Smart Plug,Electronics,42702
10489,Dumbbells Pair,Fitness,2918
10490,Gaming Headset,Headphones & Earphones,4935
10491,Hair Oil,Beauty,646
10492,Electric Kettle,Home Appliances,24228
10493,Smart Plug,Electronics,65496
10494,Air Fryer,Home Appliances,14835
10495,Men's T-Shirt,Clothing,1431
10496,Atta 5kg,Groceries,57
10497,Nuts Pack,Snacks,122
10498,Health Drink,Beverages,520
10499,Flagship Phone,Mobile Phones,23890
10500,Dumbbells Pair,Fitness,3590
10501,Non-Stick Kadai,Kitchenware,981
10502,Smart Plug,Electronics,65116
10503,Stainless Steel Lunch Box,Kitchenware,918
10504,Wallet Leather,Accessories,1109
10505,Mixer Grinder 1000W,Home Appliances,24576
10506,Ceiling Fan,Home Appliances,22930
10507,Thin & Light Laptop,Laptops,57658
10508,Nuts Pack,Snacks,265
10509,Wallet Leather,Accessories,2554
10510,Casual Shirt,Clothing,1082
10511,Slippers,Footwear,950
10512,Fruit Juice 7L,Beverages,221
10513,Chromebook,Laptops,34636
10514,AMD Ryzen 5 Laptop,Laptops,31846
10515,Gaming Laptop,Laptops,33014
10516,Formal Shoes,Footwear,4133
10517,Yoga Mat,Sports,3231
10518,Hoodie,Clothing,2368
10519,Fruit Juice 5L,Beverages,386
10520,Salt Pack,Groceries,931
10521,Gaming Laptop,Laptops,64055
10522,Spices Masala,Groceries,360
10523,Yoga Mat,Sports,743
10524,Wireless Earbuds,Electronics,17901
10525,Hair Oil,Beauty,1262
10526,Skipping Rope,Sports,1782
10527,Over-Ear Headphones,Headphones & Earphones,4209
10528,Running Watch,Fitness & Wearables,7971
10529,Business Book,Books,901
10530,Face Wash,Personal Care,609
10531,Induction Cooktop,Home Appliances,9949
10532,Study Table,Furniture,30466
10533,Bluetooth Speaker,Electronics,27463
10534,Glass Water Bottle,Kitchenware,1184
10535,Cutlery Set,Kitchenware,1684
10536,Wired Earphones,Headphones & Earphones,9831
10537,Deodorant,Personal Care,400
10538,Cricket Bat,Sports,3723
10539,Cooking Oil 7L,Groceries,783
10540,Bluetooth Speaker,Electronics,32578
10541,Camera Phone,Mobile Phones,15503
10542,Sunglasses,Accessories,1951
10543,Marker Permanent,Stationery,86
10544,Chromebook,Laptops,48880
10545,Salt Pack,Groceries,850
10546,Glass Water Bottle,Kitchenware,375
10547,Watch Strap,Accessories,809
10548,Face Wash,Personal Care,782
10549,Yoga Mat,Sports,1021
10550,Camera Phone,Mobile Phones,12967
10551,Backpack 32L,Accessories,1760
10552,Non-Stick Kadai,Kitchenware,2554
10553,Push-up Bars,Fitness,1976
10554,Dumbbells Pair,Fitness,2940
10555,Mobile Cover,Accessories,2711
10556,Dining Table Set,Furniture,39704
10557,Non-Stick Kadai,Kitchenware,746
10558,Smart Plug,Electronics,24374
10559,Air Fryer,Home Appliances,21522
10560,Health Drink,Beverages,341
10561,Self-Help Book,Books,195
10562,Bed Frame,Furniture,6235
10563,Office Chair,Furniture,19817
10564,Programming Book,Books,876
10565,Face Cream,Beauty,778
10566,Running Watch,Fitness & Wearables,8590
10567,Study Table,Furniture,27782
10568,Nuts Pack,Snacks,107
10569,Biography,Books,978
10570,Highlighter Set,Stationery,169
10571,Programming Book,Books,1145
10572,AMD Ryzen 5 Laptop,Laptops,53215
10573,Fruit Juice 3L,Beverages,95
10574,Pressure Cooker 7L,Kitchenware,1361
10575,Thin & Light Laptop,Laptops,50008
10576,Hair Oil,Beauty,1151
10577,Biography,Books,557
10578,Football,Sports,3643
10579,Glass Water Bottle,Kitchenware,839
10580,Induction Cooktop,Home Appliances,12760
10581,Stainless Steel Lunch Box,Kitchenware,811
10582,Toothpaste,Personal Care,681
10583,Cutlery Set,Kitchenware,809
10584,Hair Oil,Beauty,620
10585,Ball Pen Pack,Stationery,473
10586,Gaming Laptop,Laptops,53207
10587,Novel Bestseller,Books,416
10588,Gaming Headset,Headphones & Earphones,14995
10589,Atta 5kg,Groceries,460
10590,Bookshelf,Furniture,39923
10591,Marker Permanent,Stationery,263
10592,Hoodie,Clothing,2814
10593,Camera Phone,Mobile Phones,48643
10594,Resistance Bands,Fitness,2868
10595,Casual Shirt,Clothing,1567
10596,Power Bank 20000mAh,Electronics,63217
10597,Biscuits Pack,Snacks,360
10598,Atta 10kg,Groceries,769
10599,Heart Rate Monitor Watch,Fitness & Wearables,8810
10600,Electric Kettle,Home Appliances,21477
10601,Bed Frame,Furniture,4644
10602,Gaming Phone,Mobile Phones,32587
10603,Deodorant,Personal Care,773
10604,Football,Sports,387
10605,Cooking Oil 5L,Groceries,144
10606,Namkeen Mix,Snacks,193
10607,Biography,Books,386
10608,Non-Stick Kadai,Kitchenware,1867
10609,Gaming Headset,Headphones & Earphones,837
10610,5G Smartphone 6GB RAM,Mobile Phones,36078
10611,Ceiling Fan,Home Appliances,7685
10612,Lipstick Matte,Beauty,656
10613,Hoodie,Clothing,878
10614,Neckband Earphones,Headphones & Earphones,3788
10615,Study Table,Furniture,16433
10616,Cricket Bat,Sports,635
10617,Smartwatch with AMOLED,Fitness & Wearables,7427
10618,Running Watch,Fitness & Wearables,5003
10619,Pressure Cooker 10L,Kitchenware,2809
10620,5G Smartphone 6GB RAM,Mobile Phones,32909
10621,Energy Bar,Snacks,232
10622,Men's T-Shirt,Clothing,3256
10623,Gaming Laptop,Laptops,38804
10624,Football,Sports,1728
10625,Casual Shirt,Clothing,1525
10626,Over-Ear Headphones,Headphones & Earphones,7977
10627,Potato Chips 200g,Snacks,194
10628,Chromebook,Laptops,36881
10629,Business Book,Books,386
10630,Wired Earphones,Headphones & Earphones,13093
10631,Ab Roller,Fitness,3155
10632,Electric Kettle,Home Appliances,11954
10633,Ceiling Fan,Home Appliances,1204
10634,Highlighter Set,Stationery,116
10635,Football,Sports,4459
10636,Potato Chips 200g,Snacks,67
10637,Smart Plug,Electronics,26468
10638,Bed Frame,Furniture,47253
10639,Flagship Phone,Mobile Phones,13608
10640,Smart Plug,Electronics,40993
10641,Bookshelf,Furniture,28504
10642,Highlighter Set,Stationery,381
10643,Cutlery Set,Kitchenware,1576
10644,Resistance Bands,Fitness,571
10645,Watch Strap,Accessories,1471
10646,Notebook 100 Pages,Stationery,57
10647,Backpack 55L,Accessories,226
10648,Salt Pack,Groceries,254
10649,Sunscreen SPF50,Beauty,1208
10650,Novel Bestseller,Books,524
10651,Novel Bestseller,Books,385
10652,Dumbbells Pair,Fitness,2145
10653,Energy Bar,Snacks,386
10654,Men's T-Shirt,Clothing,2544
10655,Spices Masala,Groceries,35
10656,Air Fryer,Home Appliances,19323
10657,Skipping Rope,Sports,227
10658,Notebook 300 Pages,Stationery,386
10659,Potato Chips 200g,Snacks,387
10660,Health Drink,Beverages,87
10661,Running Shoes,Footwear,944
10662,Cooking Oil 3L,Groceries,570
10663,Running Watch,Fitness & Wearables,7214
10664,Instant Coffee,Beverages,248
10665,Gaming Headset,Headphones & Earphones,3715
10666,Backpack 65L,Accessories,428
10667,Intel Core i5 Laptop,Laptops,105195
10668,Smart Plug,Electronics,60531
10669,Jeans Slim Fit,Clothing,2702
10670,Smart Plug,Electronics,64559
10671,Biscuits Pack,Snacks,66
10672,Sticky Notes,Stationery,382
10673,Ceiling Fan,Home Appliances,9654
10674,Cooking Oil 5L,Groceries,647
10675,Cooking Oil 7L,Groceries,625
10676,Pressure Cooker 10L,Kitchenware,2609
10677,Running Shoes,Footwear,3441
10678,Face Cream,Beauty,945
10679,Wired Earphones,Headphones & Earphones,13597
10680,Notebook 100 Pages,Stationery,431
10681,Electric Kettle,Home Appliances,18964
10682,Air Fryer,Home Appliances,11312
10683,Sunglasses,Accessories,438
10684,Jeans Slim Fit,Clothing,2368
10685,Intel Core i5 Laptop,Laptops,104156
10686,Stainless Steel Lunch Box,Kitchenware,1813
10687,GPS Smartwatch,Fitness & Wearables,9838
10688,Slippers,Footwear,3236
10689,Smartwatch with AMOLED,Fitness & Wearables,2024
10690,Highlighter Set,Stationery,326
10691,Induction Cooktop,Home Appliances,1246
10692,Non-Stick Kadai,Kitchenware,1276
10693,Women's Kurti,Clothing,1788
10694,Business Book,Books,469
10695,5G Smartphone 4GB RAM,Mobile Phones,45072
10696,Mixer Grinder 500W,Home Appliances,18998
10697,Dumbbells Pair,Fitness,2515
10698,GPS Smartwatch,Fitness & Wearables,2147
10699,Hair Oil,Beauty,375
10700,Women's Kurti,Clothing,2988
